0,1,2,3,4,5,6,7,8,9,10,11,data_bollettino,data_aggiornamento
M.Cotugno,"252,00",480.700.000,"219,79",77.714.000,62.714.000,"216,60","2,00",57.920.000,42.920.000,"0,00","0,00",2025-12-26,2025-12-26 10:24
,"240,00*",285.700.000,,,,,,,,,,2025-12-26,2025-12-26 10:24
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"516,70",68.200.000,55.200.000,"513,70","9,00",56.200.000,43.200.000,"0,00","0,00",2025-12-26,2025-12-26 10:24
,"527,00 *",123.429.000,,,,,,,,,,2025-12-26,2025-12-26 10:24
,"525,50 *",113.438.000,,,,,,,,,,2025-12-26,2025-12-26 10:24
Camastra,"531,60",18.418.128 ***,"515,82",----------,1.938.050,"524,49","4,00",----------,9.261.225,"0,00","0,00",2025-12-26,2025-12-26 10:24
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-26,2025-12-26 10:24
Basentello,"269,00",33.039.968,"257,16",6.101.363,529.988,"257,55","1,00",6.545.690,974.315,"0,00","0,00",2025-12-26,2025-12-26 10:24
,"267,50 *",28.001.468,,,,,,,,,,2025-12-26,2025-12-26 10:24
Conza,"434,80",61.813.380,"421,01",14.638.035,10.713.635,"422,20","9,00",17.557.700,13.633.300,"0,00","0,00",2025-12-26,2025-12-26 10:24
,"431,30 *",45.495.770,,,,,,,,,,2025-12-26,2025-12-26 10:24
Saetta,"951,24",3.480.000,"945,68",954.000,3 31.000,"946,00","2,00",1.050.000,427.000,"0,00","0,00",2025-12-26,2025-12-26 10:24
,"949,00*",2.250.000,,,,,,,,,,2025-12-26,2025-12-26 10:24
S.Giuliano,"101,00",94.081.021,"91,95",15.682.805,11.682.805,"93,58","-2,00",23.087.738,19.087.738,"0,20","0,00",2025-12-26,2025-12-26 10:24
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,45","5,00",2.412.000,2.271.000,"0,00","0,00",2025-12-26,2025-12-26 10:24
Acerenza,"432,00 **",8.887.800,"425,76",4.252.024,889.824,"430,08","0,00",7.308.792,3.946.592,"0,00","0,00",2025-12-26,2025-12-26 10:24
Genzano,"402,00 **",3.100.000,"400,40",2.445.000,995.000,"401,24","1,00",2.758.000,1.308.000,"0,00","0,00",2025-12-26,2025-12-26 10:24
DESCRIZIONE INVASI,,,27-dicembre-2024,,,27-dicembre-2025,,,,,,2025-12-27,2025-12-27 10:22
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2025-12-27,2025-12-27 10:22
,slm,mc.lordi,,,,,,,,,,2025-12-27,2025-12-27 10:22
M.Cotugno,"252,00",480.700.000,"219,92",78.572.000,63.572.000,"216,60","0,00",57.920.000,42.920.000,"0,00","0,00",2025-12-27,2025-12-27 10:22
,"240,00*",285.700.000,,,,,,,,,,2025-12-27,2025-12-27 10:22
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"516,77",68.480.000,55.480.000,"513,75","5,00",56.400.000,43.400.000,"1,00","0,00",2025-12-27,2025-12-27 10:22
,"527,00 *",123.429.000,,,,,,,,,,2025-12-27,2025-12-27 10:22
,"525,50 *",113.438.000,,,,,,,,,,2025-12-27,2025-12-27 10:22
Camastra,"531,60",18.418.128 ***,"515,98",----------,2.030.718,"524,50","1,00",----------,9.271.926,"0,00","0,00",2025-12-27,2025-12-27 10:22
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-27,2025-12-27 10:22
Basentello,"269,00",33.039.968,"257,18",6.124.149,552.774,"257,56","1,00",6.557.083,985.708,"0,00","0,00",2025-12-27,2025-12-27 10:22
,"267,50 *",28.001.468,,,,,,,,,,2025-12-27,2025-12-27 10:22
Conza,"434,80",61.813.380,"421,11",14.883.385,10.958.985,"422,23","3,00",17.631.305,13.706.905,"0,00","0,00",2025-12-27,2025-12-27 10:22
,"431,30 *",45.495.770,,,,,,,,,,2025-12-27,2025-12-27 10:22
Saetta,"951,24",3.480.000,"945,97",1.041.000,4 18.000,"946,02","2,00",1.057.200,434.200,"1,00","0,00",2025-12-27,2025-12-27 10:22
,"949,00*",2.250.000,,,,,,,,,,2025-12-27,2025-12-27 10:22
S.Giuliano,"101,00",94.081.021,"91,95",15.682.805,11.682.805,"93,58","0,00",23.087.738,19.087.738,"0,00","0,00",2025-12-27,2025-12-27 10:22
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,45","0,00",2.412.000,2.271.000,"0,00","0,00",2025-12-27,2025-12-27 10:22
Acerenza,"432,00 **",8.887.800,"426,33",4.698.992,1.336.792,"430,08","0,00",7.308.792,3.946.592,"2,00","0,00",2025-12-27,2025-12-27 10:22
Genzano,"402,00 **",3.100.000,"400,41",2.448.000,998.000,"401,25","1,00",2.763.000,1.313.000,"0,00","0,00",2025-12-27,2025-12-27 10:22
DESCRIZIONE INVASI,,,28-dicembre-2024,,,28-dicembre-2025,,,,,,2025-12-28-1,2025-12-28 10:23
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2025-12-28-1,2025-12-28 10:23
,slm,mc.lordi,,,,,,,,,,2025-12-28-1,2025-12-28 10:23
M.Cotugno,"252,00",480.700.000,"220,02",79.236.000,64.236.000,"216,60","0,00",57.920.000,42.920.000,"0,00","0,00",2025-12-28-1,2025-12-28 10:23
,"240,00*",285.700.000,,,,,,,,,,2025-12-28-1,2025-12-28 10:23
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"516,83",68.720.000,55.720.000,"513,80","5,00",56.600.000,43.600.000,"0,00","0,00",2025-12-28-1,2025-12-28 10:23
,"527,00 *",123.429.000,,,,,,,,,,2025-12-28-1,2025-12-28 10:23
,"525,50 *",113.438.000,,,,,,,,,,2025-12-28-1,2025-12-28 10:23
Camastra,"531,60",18.418.128 ***,"516,17",----------,2.151.236,"524,49","-1,00",----------,9.261.225,"0,00","0,00",2025-12-28-1,2025-12-28 10:23
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-28-1,2025-12-28 10:23
Basentello,"269,00",33.039.968,"257,19",6.135.542,564.167,"257,57","1,00",6.568.476,997.101,"0,00","0,00",2025-12-28-1,2025-12-28 10:23
,"267,50 *",28.001.468,,,,,,,,,,2025-12-28-1,2025-12-28 10:23
Conza,"434,80",61.813.380,"421,17",15.030.595,11.106.195,"422,26","3,00",17.704.910,13.780.510,"0,00","0,00",2025-12-28-1,2025-12-28 10:23
,"431,30 *",45.495.770,,,,,,,,,,2025-12-28-1,2025-12-28 10:23
Saetta,"951,24",3.480.000,"946,16",1.107.600,4 84.600,"946,03","1,00",1.060.800,437.800,"1,00","0,00",2025-12-28-1,2025-12-28 10:23
,"949,00*",2.250.000,,,,,,,,,,2025-12-28-1,2025-12-28 10:23
S.Giuliano,"101,00",94.081.021,"91,95",15.682.805,11.682.805,"93,58","0,00",23.087.738,19.087.738,"0,00","0,00",2025-12-28-1,2025-12-28 10:23
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,45","0,00",2.412.000,2.271.000,"0,00","0,00",2025-12-28-1,2025-12-28 10:23
Acerenza,"432,00 **",8.887.800,"426,78",4.988.072,1.625.872,"430,08","0,00",7.308.792,3.946.592,"0,00","0,00",2025-12-28-1,2025-12-28 10:23
Genzano,"402,00 **",3.100.000,"400,43",2.455.000,1.005.000,"401,27","2,00",2.772.000,1.322.000,"0,00","0,00",2025-12-28-1,2025-12-28 10:23
DESCRIZIONE INVASI,,,29-dicembre-2024,,,29-dicembre-2025,,,,,,2025-12-29,2025-12-29 10:26
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2025-12-29,2025-12-29 10:26
,slm,mc.lordi,,,,,,,,,,2025-12-29,2025-12-29 10:26
M.Cotugno,"252,00",480.700.000,"220,10",79.780.000,64.780.000,"216,60","0,00",57.920.000,42.920.000,"0,00","0,00",2025-12-29,2025-12-29 10:26
,"240,00*",285.700.000,,,,,,,,,,2025-12-29,2025-12-29 10:26
